,tokenize,n
12286,Moderna,1812
3512,Covaxin,874
18152,Sputnik V,777
14505,Pfizer,739
2436,canada,689
14508,Pfizerbiontech,598
17590,shot,563
4705,dose,555
19347,today,555
7301,got,553
931,arm,501
6335,first,498
14103,oxfordastrazeneca,492
14421,people,492
3988,day,489
19585,trudeau,422
1060,astrazeneca,421
4724,doug,414
6524,ford,413
7031,get,409
2513,case,406
539,alone,404
5100,eating,397
17717,sinovac,397
20272,use,393
5204,effect,389
5703,eu,386
17645,side,385
17301,second,364
6522,forced,352
8905,india,348
18013,sore,337
4071,death,313
3439,coronavirus,312
5405,emergency,310
13776,one,303
16913,russia,298
12927,new,287
9421,jab,284
18288,stay,276
8190,hour,267
3497,country,259
17714,sinopharm,257
20436,vaccinated,249
8117,home,220
2810,china,214
7039,getting,212
7811,health,212
18333,still,212
19954,uk,205
